iter	RMSE
0	0.3472956115
1	0.3418840612
2	0.3379417457
3	0.3335888903
4	0.3296843166
5	0.3251695932
6	0.3207311933
7	0.317050871
8	0.3133050229
9	0.3093783379
10	0.3057201188
11	0.3022221961
12	0.2986353346
13	0.2953940358
14	0.2920629358
15	0.2884719179
16	0.2853801663
17	0.2823808822
18	0.2794430489
19	0.2768854616
20	0.2741938635
21	0.2714119009
22	0.2687254081
23	0.2661176346
24	0.2639838777
25	0.2611775063
26	0.2588361454
27	0.2565251233
28	0.2538655991
29	0.2522290094
30	0.2498762569
31	0.2479955612
32	0.2463567394
33	0.2445746493
34	0.2424684308
35	0.2405743032
36	0.2389422946
37	0.2372232326
38	0.2354355127
39	0.2335123969
40	0.2317766797
41	0.229844488
42	0.2281541321
43	0.2270096479
44	0.225918883
45	0.2246633032
46	0.2232429041
47	0.2218527455
48	0.2203040502
49	0.219012315
50	0.2180258308
51	0.2169774091
52	0.2158826375
53	0.2144420035
54	0.2133645646
55	0.2121733385
56	0.2112224393
57	0.2100577152
58	0.2092219821
59	0.2081322211
60	0.2070531279
61	0.2061572557
62	0.2050836638
63	0.204105369
64	0.2033935317
65	0.2026567228
66	0.2018599667
67	0.2010998706
68	0.2003758516
69	0.1997595872
70	0.1990597297
71	0.1983392015
72	0.1979512471
73	0.1972706237
74	0.1966581472
75	0.1959989606
76	0.1952037401
77	0.1948828167
78	0.194280073
79	0.1936469722
80	0.1930338871
81	0.1924743795
82	0.1919629826
83	0.1916941857
84	0.1912784762
85	0.1908230175
86	0.1901407165
87	0.189577772
88	0.189104402
89	0.1886297525
90	0.1879210892
91	0.1875006946
92	0.1871819728
93	0.186859469
94	0.1864274627
95	0.1860475816
96	0.1855478155
97	0.1852691916
98	0.1847581134
99	0.1845205741
100	0.1840380588
101	0.1835847778
102	0.183216574
103	0.1827653363
104	0.182561188
105	0.1822177616
106	0.1818158737
107	0.1815379343
108	0.1812219425
109	0.180941008
110	0.1807425834
111	0.1805337745
112	0.1802083322
113	0.1798988791
114	0.1796599469
115	0.1793326253
116	0.179069532
117	0.178769926
118	0.1785820877
119	0.1782828603
120	0.1779843167
121	0.1776366369
122	0.177376508
123	0.177204416
124	0.1769394959
125	0.1767833327
126	0.1765584876
127	0.1764312576
128	0.1760942138
129	0.1758754272
130	0.175576559
131	0.1754753291
132	0.1752938097
133	0.1750970897
134	0.1747818506
135	0.1745846689
136	0.1743331857
137	0.1742011871
138	0.1739838271
139	0.1739013088
140	0.1736424085
141	0.1736006776
142	0.1734588308
143	0.1732980213
144	0.1732300005
145	0.1730628924
146	0.172929113
147	0.172854948
148	0.1727305857
149	0.1726709084
150	0.1724814996
151	0.1724295371
152	0.1722544498
153	0.1720809172
154	0.1718664695
155	0.1716428879
156	0.1713568438
157	0.1712551377
158	0.1709647574
159	0.170814884
160	0.1706407019
161	0.170442499
162	0.1703052325
163	0.1700460883
164	0.169923707
165	0.1697369101
166	0.1694410274
167	0.1694177253
168	0.1691215118
169	0.169006155
170	0.1689217115
171	0.1687636084
172	0.1686198424
173	0.1684356137
174	0.1682589284
175	0.1681110764
176	0.1679587812
177	0.1678679101
178	0.1677562873
179	0.1675812804
180	0.1674569608
181	0.1673457094
182	0.1672446316
183	0.1671388649
184	0.1670860095
185	0.1669163765
186	0.1667496466
187	0.1666785474
188	0.1666604016
189	0.1664469804
190	0.1663139555
191	0.1661552578
192	0.1660681755
193	0.1659917938
194	0.1657972216
195	0.1657509816
196	0.1656132285
197	0.1655090474
198	0.1652644614
199	0.1651857595
