iter	Passed	Remaining
0	133	133577
1	136	68109
2	139	46263
3	141	35224
4	145	29001
5	148	24674
6	153	21786
7	159	19783
8	162	17867
9	166	16504
10	168	15161
11	171	14134
12	175	13309
13	178	12565
14	181	11923
15	184	11339
16	188	10926
17	192	10482
18	195	10094
19	199	9758
20	203	9478
21	206	9162
22	209	8882
23	210	8575
24	213	8325
25	218	8177
26	221	7964
27	224	7781
28	227	7601
29	231	7469
30	233	7299
31	235	7131
32	238	6981
33	240	6840
34	243	6705
35	257	6886
36	260	6788
37	264	6688
38	266	6578
39	269	6464
40	272	6363
41	275	6275
42	277	6172
43	280	6097
44	282	6004
45	285	5914
46	286	5817
47	289	5749
48	292	5670
49	295	5612
50	297	5538
51	299	5467
52	304	5434
53	306	5368
54	308	5308
55	311	5248
56	313	5189
57	316	5136
58	318	5087
59	321	5032
60	322	4969
61	324	4916
62	327	4868
63	329	4819
64	332	4784
65	335	4742
66	336	4680
67	338	4642
68	339	4583
69	341	4542
70	343	4492
71	346	4465
72	348	4426
73	350	4387
74	352	4351
75	354	4315
76	357	4282
77	359	4254
78	361	4217
79	363	4184
80	365	4152
81	368	4121
82	370	4089
83	376	4102
84	378	4077
85	380	4042
86	381	4005
87	383	3978
88	386	3961
89	389	3940
90	391	3914
91	394	3893
92	396	3870
93	399	3847
94	403	3839
95	404	3806
96	406	3783
97	409	3767
98	411	3744
99	412	3716
100	416	3709
101	419	3692
102	420	3666
103	423	3650
104	425	3629
105	427	3609
106	430	3593
107	433	3577
108	435	3558
109	439	3552
110	441	3534
111	443	3515
112	447	3511
113	448	3489
114	451	3475
115	454	3460
116	456	3443
117	459	3435
118	462	3421
119	464	3404
120	467	3397
121	469	3382
122	472	3368
123	475	3361
124	477	3345
125	480	3331
126	482	3316
127	483	3294
128	485	3280
129	488	3271
130	491	3260
131	493	3246
132	495	3232
133	498	3220
134	499	3197
135	500	3177
136	503	3171
137	506	3162
138	508	3149
139	511	3139
140	513	3127
141	515	3115
142	517	3103
143	520	3093
144	521	3075
145	523	3062
146	525	3050
147	528	3041
148	530	3030
149	532	3018
150	535	3008
151	537	2996
152	539	2985
153	541	2975
154	544	2970
155	546	2957
156	548	2946
157	550	2935
158	553	2927
159	554	2911
160	556	2900
161	560	2897
162	562	2889
163	564	2878
164	566	2868
165	569	2860
166	570	2845
167	574	2843
168	575	2830
169	577	2820
170	579	2811
171	582	2803
172	584	2794
173	588	2792
174	590	2783
175	592	2774
176	595	2770
177	598	2763
178	600	2755
179	602	2746
180	605	2738
181	607	2730
182	609	2723
183	612	2715
184	614	2707
185	615	2693
186	617	2685
187	619	2677
188	622	2669
189	625	2666
190	627	2659
191	630	2651
192	632	2643
193	634	2636
194	637	2629
195	640	2628
196	643	2621
197	645	2613
198	647	2605
199	649	2599
200	652	2592
201	654	2587
202	657	2580
203	659	2573
204	661	2565
205	663	2559
206	666	2554
207	669	2547
208	671	2541
209	673	2533
210	675	2525
211	678	2520
212	680	2514
213	683	2510
214	685	2504
215	687	2497
216	690	2489
217	692	2483
218	694	2477
219	697	2474
220	700	2468
221	702	2461
222	704	2454
223	707	2449
224	709	2443
225	713	2442
226	715	2436
227	717	2429
228	720	2425
229	723	2422
230	726	2417
231	728	2412
232	730	2405
233	733	2399
234	735	2394
235	738	2391
236	740	2385
237	743	2380
238	745	2373
239	747	2367
240	750	2362
241	753	2359
242	755	2353
243	757	2348
244	760	2342
245	762	2336
246	764	2331
247	767	2328
248	770	2322
249	772	2317
250	774	2311
251	776	2305
252	778	2299
253	781	2295
254	784	2291
255	786	2285
256	788	2280
257	791	2274
258	793	2269
259	796	2268
260	799	2262
261	801	2257
262	803	2252
263	805	2246
264	807	2240
265	813	2243
266	815	2238
267	817	2233
268	820	2228
269	822	2223
270	827	2226
271	830	2221
272	832	2217
273	834	2211
274	837	2207
275	840	2203
276	842	2199
277	845	2195
278	847	2189
279	849	2184
280	851	2180
281	855	2178
282	858	2174
283	860	2169
284	862	2164
285	865	2159
286	867	2154
287	871	2154
288	874	2150
289	876	2145
290	878	2140
291	881	2136
292	883	2132
293	886	2128
294	888	2124
295	890	2119
296	893	2114
297	895	2110
298	898	2106
299	900	2102
300	903	2097
301	905	2092
302	907	2087
303	909	2083
304	912	2079
305	914	2074
306	917	2070
307	919	2066
308	921	2061
309	924	2056
310	926	2052
311	928	2048
312	931	2044
313	933	2040
314	935	2035
315	938	2031
316	941	2028
317	943	2023
318	946	2020
319	948	2015
320	950	2010
321	953	2007
322	958	2009
323	961	2006
324	964	2003
325	966	1998
326	970	1997
327	973	1994
328	975	1990
329	978	1985
330	980	1982
331	983	1979
332	986	1976
333	989	1972
334	991	1968
335	993	1964
336	996	1960
337	1000	1958
338	1002	1954
339	1004	1950
340	1007	1946
341	1009	1942
342	1012	1938
343	1014	1935
344	1017	1931
345	1019	1926
346	1022	1923
347	1024	1918
348	1028	1918
349	1030	1914
350	1033	1910
351	1035	1906
352	1038	1903
353	1043	1903
354	1046	1900
355	1048	1896
356	1050	1892
357	1053	1888
358	1057	1887
359	1059	1883
360	1062	1879
361	1064	1875
362	1066	1871
363	1071	1872
364	1074	1868
365	1076	1865
366	1079	1861
367	1081	1857
368	1083	1853
369	1088	1852
370	1092	1851
371	1094	1847
372	1097	1844
373	1100	1842
374	1102	1838
375	1105	1834
376	1107	1830
377	1109	1826
378	1115	1827
379	1118	1824
380	1120	1820
381	1123	1817
382	1125	1812
383	1129	1811
384	1131	1807
385	1133	1803
386	1135	1799
387	1138	1795
388	1140	1791
389	1144	1790
390	1147	1787
391	1149	1782
392	1151	1778
393	1154	1775
394	1156	1771
395	1159	1767
396	1161	1764
397	1163	1760
398	1166	1756
399	1168	1752
400	1171	1749
401	1173	1746
402	1176	1743
403	1178	1739
404	1181	1735
405	1183	1731
406	1187	1729
407	1189	1726
408	1191	1722
409	1194	1718
410	1196	1714
411	1199	1711
412	1202	1709
413	1204	1705
414	1207	1701
415	1209	1697
416	1212	1694
417	1218	1695
418	1220	1692
419	1222	1688
420	1225	1685
421	1227	1681
422	1231	1680
423	1234	1676
424	1236	1672
425	1238	1669
426	1241	1665
427	1243	1662
428	1247	1660
429	1250	1657
430	1252	1653
431	1254	1649
432	1257	1646
433	1260	1643
434	1262	1640
435	1265	1636
436	1267	1633
437	1269	1629
438	1272	1626
439	1275	1623
440	1277	1619
441	1280	1616
442	1282	1612
443	1285	1610
444	1289	1607
445	1291	1604
446	1294	1601
447	1296	1597
448	1299	1594
449	1303	1593
450	1305	1589
451	1308	1586
452	1310	1582
453	1313	1579
454	1315	1575
455	1319	1574
456	1322	1571
457	1324	1567
458	1327	1564
459	1329	1560
460	1333	1559
461	1335	1555
462	1338	1552
463	1340	1548
464	1343	1545
465	1345	1542
466	1348	1539
467	1351	1535
468	1353	1532
469	1355	1528
470	1358	1525
471	1361	1523
472	1364	1519
473	1366	1516
474	1369	1513
475	1371	1509
476	1374	1506
477	1377	1503
478	1379	1500
479	1381	1496
480	1384	1493
481	1386	1490
482	1390	1488
483	1392	1484
484	1394	1481
485	1397	1478
486	1399	1474
487	1402	1471
488	1406	1469
489	1408	1465
490	1410	1462
491	1413	1459
492	1415	1455
493	1419	1453
494	1421	1450
495	1424	1447
496	1426	1444
497	1429	1441
498	1433	1439
499	1436	1436
500	1438	1433
501	1441	1429
502	1444	1426
503	1449	1426
504	1452	1423
505	1454	1420
506	1457	1416
507	1461	1415
508	1464	1412
509	1466	1409
510	1470	1406
511	1472	1403
512	1476	1401
513	1478	1397
514	1481	1395
515	1484	1392
516	1486	1388
517	1490	1386
518	1493	1383
519	1495	1380
520	1499	1378
521	1501	1374
522	1505	1373
523	1508	1369
524	1511	1367
525	1513	1364
526	1516	1361
527	1519	1358
528	1522	1355
529	1525	1353
530	1528	1350
531	1531	1347
532	1535	1345
533	1537	1341
534	1543	1341
535	1545	1338
536	1549	1336
537	1552	1332
538	1555	1330
539	1558	1327
540	1561	1324
541	1564	1322
542	1567	1319
543	1570	1316
544	1573	1313
545	1575	1310
546	1580	1308
547	1582	1305
548	1586	1303
549	1588	1300
550	1592	1297
551	1595	1294
552	1598	1291
553	1600	1288
554	1603	1285
555	1605	1282
556	1608	1279
557	1611	1276
558	1615	1274
559	1617	1270
560	1621	1269
561	1624	1266
562	1627	1263
563	1630	1260
564	1632	1256
565	1636	1254
566	1639	1251
567	1642	1249
568	1644	1246
569	1647	1242
570	1651	1240
571	1653	1237
572	1656	1234
573	1659	1231
574	1661	1227
575	1666	1226
576	1668	1223
577	1671	1220
578	1673	1216
579	1675	1213
580	1678	1210
581	1681	1207
582	1684	1204
583	1689	1203
584	1691	1200
585	1695	1197
586	1698	1194
587	1700	1191
588	1703	1188
589	1705	1185
590	1709	1182
591	1711	1179
592	1714	1176
593	1716	1173
594	1718	1169
595	1721	1166
596	1724	1163
597	1726	1160
598	1729	1157
599	1731	1154
600	1734	1151
601	1736	1148
602	1739	1145
603	1742	1142
604	1744	1138
605	1746	1135
606	1749	1132
607	1752	1130
608	1755	1126
609	1757	1123
610	1759	1120
611	1762	1117
612	1764	1113
613	1768	1111
614	1771	1108
615	1773	1105
616	1776	1102
617	1779	1099
618	1781	1096
619	1784	1093
620	1786	1090
621	1789	1087
622	1793	1085
623	1795	1081
624	1797	1078
625	1800	1075
626	1802	1072
627	1804	1069
628	1808	1066
629	1810	1063
630	1812	1060
631	1815	1057
632	1817	1053
633	1821	1051
634	1823	1048
635	1825	1045
636	1828	1041
637	1830	1038
638	1832	1035
639	1836	1033
640	1838	1029
641	1841	1026
642	1843	1023
643	1846	1020
644	1848	1017
645	1851	1014
646	1854	1011
647	1856	1008
648	1858	1005
649	1861	1002
650	1864	999
651	1866	996
652	1869	993
653	1871	990
654	1873	987
655	1876	984
656	1879	981
657	1882	978
658	1884	975
659	1887	972
660	1889	968
661	1892	966
662	1895	963
663	1897	960
664	1900	957
665	1902	954
666	1905	951
667	1908	948
668	1911	945
669	1914	942
670	1916	939
671	1918	936
672	1922	934
673	1924	931
674	1927	927
675	1929	924
676	1931	921
677	1935	919
678	1937	916
679	1940	913
680	1942	910
681	1945	906
682	1948	904
683	1951	901
684	1953	898
685	1956	895
686	1958	892
687	1961	889
688	1964	886
689	1967	883
690	1969	880
691	1971	877
692	1973	874
693	1975	871
694	1979	868
695	1982	865
696	1984	862
697	1986	859
698	1989	856
699	1992	853
700	1995	851
701	1997	848
702	2000	844
703	2002	841
704	2004	838
705	2008	836
706	2010	833
707	2013	830
708	2015	827
709	2017	824
710	2020	821
711	2023	818
712	2026	815
713	2028	812
714	2030	809
715	2033	806
716	2035	803
717	2038	800
718	2041	797
719	2043	794
720	2046	791
721	2048	788
722	2051	786
723	2054	783
724	2056	780
725	2059	777
726	2061	774
727	2064	771
728	2067	768
729	2069	765
730	2072	762
731	2074	759
732	2076	756
733	2079	753
734	2082	750
735	2085	747
736	2087	745
737	2089	741
738	2092	739
739	2097	736
740	2099	733
741	2102	730
742	2104	727
743	2106	724
744	2109	722
745	2112	719
746	2114	716
747	2117	713
748	2120	710
749	2123	707
750	2125	704
751	2127	701
752	2130	698
753	2132	695
754	2135	692
755	2138	690
756	2141	687
757	2143	684
758	2145	681
759	2148	678
760	2152	675
761	2154	672
762	2157	670
763	2159	667
764	2161	664
765	2164	661
766	2167	658
767	2169	655
768	2172	652
769	2174	649
770	2176	646
771	2179	643
772	2182	640
773	2185	638
774	2187	635
775	2189	632
776	2191	629
777	2195	626
778	2198	623
779	2200	620
780	2202	617
781	2205	614
782	2207	611
783	2211	609
784	2213	606
785	2216	603
786	2218	600
787	2220	597
788	2223	594
789	2227	592
790	2229	589
791	2231	586
792	2234	583
793	2235	580
794	2238	577
795	2241	574
796	2243	571
797	2245	568
798	2248	565
799	2250	562
800	2254	560
801	2256	557
802	2258	554
803	2261	551
804	2263	548
805	2266	545
806	2269	542
807	2272	539
808	2274	537
809	2276	534
810	2279	531
811	2282	528
812	2284	525
813	2287	522
814	2289	519
815	2291	516
816	2294	513
817	2297	511
818	2299	508
819	2302	505
820	2304	502
821	2307	499
822	2309	496
823	2312	494
824	2315	491
825	2317	488
826	2320	485
827	2322	482
828	2325	479
829	2327	476
830	2330	473
831	2332	470
832	2334	468
833	2337	465
834	2341	462
835	2344	459
836	2346	456
837	2349	454
838	2351	451
839	2353	448
840	2357	445
841	2359	442
842	2362	439
843	2364	437
844	2367	434
845	2370	431
846	2373	428
847	2375	425
848	2377	422
849	2380	420
850	2385	417
851	2388	414
852	2390	411
853	2392	409
854	2395	406
855	2397	403
856	2401	400
857	2403	397
858	2405	394
859	2408	392
860	2410	389
861	2413	386
862	2416	383
863	2418	380
864	2420	377
865	2422	374
866	2425	372
867	2428	369
868	2431	366
869	2433	363
870	2436	360
871	2438	357
872	2440	355
873	2444	352
874	2446	349
875	2448	346
876	2451	343
877	2453	340
878	2455	338
879	2459	335
880	2461	332
881	2463	329
882	2465	326
883	2467	323
884	2469	320
885	2472	318
886	2475	315
887	2477	312
888	2480	309
889	2482	306
890	2485	304
891	2487	301
892	2490	298
893	2492	295
894	2494	292
895	2498	290
896	2501	287
897	2503	284
898	2505	281
899	2507	278
900	2510	275
901	2514	273
902	2516	270
903	2518	267
904	2520	264
905	2523	261
906	2526	259
907	2528	256
908	2531	253
909	2533	250
910	2535	247
911	2538	244
912	2541	242
913	2543	239
914	2546	236
915	2548	233
916	2550	230
917	2555	228
918	2558	225
919	2560	222
920	2563	219
921	2565	217
922	2567	214
923	2572	211
924	2574	208
925	2576	205
926	2579	203
927	2581	200
928	2584	197
929	2587	194
930	2589	191
931	2592	189
932	2594	186
933	2597	183
934	2600	180
935	2607	178
936	2612	175
937	2618	173
938	2622	170
939	2625	167
940	2627	164
941	2630	161
942	2633	159
943	2635	156
944	2638	153
945	2640	150
946	2642	147
947	2647	145
948	2651	142
949	2654	139
950	2662	137
951	2666	134
952	2673	131
953	2675	129
954	2678	126
955	2680	123
956	2685	120
957	2688	117
958	2690	115
959	2693	112
960	2700	109
961	2703	106
962	2706	103
963	2708	101
964	2710	98
965	2715	95
966	2717	92
967	2720	89
968	2722	87
969	2729	84
970	2731	81
971	2734	78
972	2736	75
973	2739	73
974	2744	70
975	2746	67
976	2749	64
977	2751	61
978	2754	59
979	2755	56
980	2758	53
981	2761	50
982	2763	47
983	2765	44
984	2768	42
985	2771	39
986	2775	36
987	2777	33
988	2780	30
989	2782	28
990	2785	25
991	2788	22
992	2790	19
993	2792	16
994	2795	14
995	2798	11
996	2800	8
997	2803	5
998	2805	2
999	2808	0
