iter	RMSE
0	0.3462268681
1	0.3407194067
2	0.334494201
3	0.3290098463
4	0.3231373681
5	0.3176436964
6	0.3127738635
7	0.3076201031
8	0.3038584935
9	0.2993641707
10	0.2950222076
11	0.2912098645
12	0.2875222939
13	0.284458037
14	0.28057408
15	0.2769782817
16	0.2736053252
17	0.2701996117
18	0.2669188655
19	0.263726865
20	0.2604024066
21	0.2574106444
22	0.2549860188
23	0.252315049
24	0.2498785814
25	0.2474436642
26	0.2448261196
27	0.242516712
28	0.2406383021
29	0.2387791374
30	0.2372021118
31	0.2347230638
32	0.2326759514
33	0.2301205976
34	0.2280818979
35	0.2262305534
36	0.2242677119
37	0.2224388895
38	0.2211197387
39	0.2197478343
40	0.2178132205
41	0.2163892118
42	0.2148172363
43	0.2138932438
44	0.2122437745
45	0.2105637305
46	0.2091297401
47	0.2077944111
48	0.2064985751
49	0.2051971037
50	0.2035762855
51	0.2023559701
52	0.2011488613
53	0.2003952055
54	0.1993690706
55	0.1986528139
56	0.1977226717
57	0.1967240369
58	0.1956017425
59	0.194900641
60	0.1938587368
61	0.1932307372
62	0.1921030977
63	0.1913906355
64	0.1904678208
65	0.1897998693
66	0.1888736717
67	0.1880250757
68	0.1872517257
69	0.1866476517
70	0.1860002442
71	0.1853443964
72	0.1848244261
73	0.1840915968
74	0.1835098241
75	0.1830276079
76	0.1823347022
77	0.181567936
78	0.1811670765
79	0.1807817337
80	0.1804767872
81	0.1799171722
82	0.1798503727
83	0.179429238
84	0.1788350911
85	0.1782407555
86	0.1778959494
87	0.1774619981
88	0.1767134655
89	0.1763245425
90	0.1755849097
91	0.1749706658
92	0.1746611441
93	0.1742545597
94	0.173806627
95	0.1733072982
96	0.1728932631
97	0.1722734948
98	0.1719326615
99	0.1713465141
100	0.1708615448
101	0.1705288676
102	0.1704855447
103	0.169996275
104	0.1695843049
105	0.1695271726
106	0.1692256099
107	0.1687581582
108	0.1684269302
109	0.1682546006
110	0.1679196244
111	0.1675335584
112	0.1671121109
113	0.1668191632
114	0.1663232082
115	0.1660207858
116	0.1658313062
117	0.1656314059
118	0.1651868213
119	0.1650786203
120	0.1649167028
121	0.1646992827
122	0.1641312913
123	0.1638984989
124	0.1635872848
125	0.1632580926
126	0.163044738
127	0.1628478132
128	0.1627469445
129	0.1624629186
130	0.1622269656
131	0.1618848663
132	0.1615973248
133	0.1615368517
134	0.161199668
135	0.1610126832
136	0.1606792009
137	0.1605351417
138	0.1603881325
139	0.1601553726
140	0.1600612603
141	0.1596457618
142	0.1594963502
143	0.1593067531
144	0.1589176381
145	0.1585404349
146	0.1583701957
147	0.1580041819
148	0.1578009986
149	0.1576404535
150	0.157456742
151	0.1572323141
152	0.1570822149
153	0.1569725988
154	0.1568557713
155	0.1566918608
156	0.1565337737
157	0.1562130452
158	0.1558555545
159	0.1556956374
160	0.1554330151
161	0.1553237782
162	0.1550914071
163	0.154963026
164	0.1547542334
165	0.1545664819
166	0.1543007932
167	0.1540643394
168	0.1538019122
169	0.1536032264
170	0.1535059883
171	0.1534238258
172	0.1530597489
173	0.1529368082
174	0.1526546515
175	0.1523821223
176	0.1520550171
177	0.1517234937
178	0.1515396718
179	0.1513552061
180	0.1511230512
181	0.1509201999
182	0.1507911832
183	0.1506220585
184	0.1505326554
185	0.1503998188
186	0.1501890611
187	0.1501076254
188	0.1499921385
189	0.1497923137
190	0.1495761744
191	0.1493031818
192	0.1490511255
193	0.1489645217
194	0.1488047984
195	0.1487538399
196	0.1485555058
197	0.1483546508
198	0.1482740708
199	0.1481019805
200	0.1479498806
201	0.1477838954
202	0.14763657
203	0.1474209704
204	0.1473193017
205	0.1471140455
206	0.1469293425
207	0.1467479061
208	0.1465819086
209	0.1464257584
210	0.1463657446
211	0.1462167441
212	0.146045176
213	0.1457414233
214	0.1455910578
215	0.1454719189
216	0.1452991799
217	0.1450410817
218	0.1448476448
219	0.1445965515
220	0.144493285
221	0.1443638825
222	0.1442321307
223	0.1441802847
224	0.1439174318
225	0.1438352956
226	0.1437336077
227	0.1436951047
228	0.1435365052
229	0.1433715521
230	0.1432388915
231	0.143164599
232	0.1429391248
233	0.1428846539
234	0.1427173382
235	0.1426402952
236	0.1424497494
237	0.1424144364
238	0.1422389223
239	0.1421201511
240	0.1420179629
241	0.1418725732
242	0.1416308697
243	0.1415267184
244	0.141418017
245	0.1412616987
246	0.1412088672
247	0.1408986854
248	0.1406846831
249	0.1404235897
250	0.1402460947
251	0.1401274453
252	0.1400082535
253	0.1399001368
254	0.1398243873
255	0.139633456
256	0.1393685454
257	0.1392739777
258	0.1391458109
259	0.1390447557
260	0.1387957969
261	0.1386084409
262	0.1384617726
263	0.138379343
264	0.1381176866
265	0.1380682941
266	0.1378747845
267	0.137798735
268	0.1377478881
269	0.1376249948
270	0.1374273383
271	0.1372099114
272	0.1370418413
273	0.1368781128
274	0.1368380866
275	0.1366067835
276	0.1363124986
277	0.1362081049
278	0.1359384171
279	0.1356535772
280	0.135550301
281	0.1354426057
282	0.1351708944
283	0.1349811324
284	0.1348235458
285	0.1346660245
286	0.1346026731
287	0.1344309243
288	0.1343124972
289	0.134106026
290	0.133994985
291	0.1338245072
292	0.1335567812
293	0.133391858
294	0.1332401529
295	0.1331232932
296	0.1329961895
297	0.1328052393
298	0.132570126
299	0.132340873
300	0.132249445
301	0.1321722538
302	0.1320568206
303	0.1318820004
304	0.1317390103
305	0.131538734
306	0.1314336358
307	0.131294611
308	0.1311532426
309	0.131020565
310	0.1308436826
311	0.1306908302
312	0.1304526894
313	0.1303185093
314	0.1302011015
315	0.1300688318
316	0.1299827353
317	0.1298406742
318	0.1295980937
319	0.1294716627
320	0.1293885858
321	0.1292951005
322	0.129192783
323	0.1290681689
324	0.1289394293
325	0.1287624419
326	0.1285929338
327	0.1284415536
328	0.1281941792
329	0.1279103265
330	0.1277386897
331	0.1276158859
332	0.1275019283
333	0.1273223321
334	0.1272579201
335	0.1271240278
336	0.1270263382
337	0.1269493266
338	0.1268106277
339	0.1266051715
340	0.1264433393
341	0.1262682321
342	0.126129082
343	0.126027409
344	0.1258654229
345	0.1257563047
346	0.125635019
347	0.1255522146
348	0.1254870225
349	0.1253548637
350	0.1252072113
351	0.1251223426
352	0.1250434799
353	0.1247950438
354	0.1246871794
355	0.1245246197
356	0.124449904
357	0.1244353147
358	0.1242375804
359	0.1241297868
360	0.1239844573
361	0.1237844104
362	0.1236600458
363	0.123534291
364	0.1233890548
365	0.1233123062
366	0.1232228869
367	0.1231246532
368	0.1230086189
369	0.1228124926
370	0.1225929883
371	0.1224856947
372	0.122347675
373	0.1221108178
374	0.1220269659
375	0.1219300107
376	0.1218554785
377	0.1217261384
378	0.1215003266
379	0.1214295216
380	0.1213145034
381	0.1212808551
382	0.1210452127
383	0.1210355822
384	0.1208504531
385	0.1207695262
386	0.1204290363
387	0.120331989
388	0.1202592441
389	0.1202151277
390	0.120156876
391	0.1200258799
392	0.119897678
393	0.1198180358
394	0.119689429
395	0.1196254833
396	0.119420467
397	0.1193888183
398	0.1193041552
399	0.1191539324
400	0.119087509
401	0.1189972222
402	0.1189274022
403	0.1188795489
404	0.1187897671
405	0.1186701932
406	0.1185118765
407	0.1184434335
408	0.1183976916
409	0.1181249796
410	0.1180881915
411	0.1179883585
412	0.1178608068
413	0.1178142692
414	0.1177511436
415	0.117689545
416	0.1175643624
417	0.1174335693
418	0.1173468239
419	0.117294343
420	0.1170951986
421	0.1169531619
422	0.1167647269
423	0.1165673712
424	0.1164116467
425	0.1163838654
426	0.1162914356
427	0.1162466183
428	0.1161428491
429	0.1160227988
430	0.1157857667
431	0.1156957965
432	0.1155877262
433	0.115377253
434	0.1152841786
435	0.1151953082
436	0.1150906629
437	0.1149274793
438	0.1147370571
439	0.1145986241
440	0.1144903323
441	0.1143008302
442	0.1141978782
443	0.1140231932
444	0.1138750479
445	0.11379608
446	0.1136924222
447	0.1136299096
448	0.1135173437
449	0.1134275804
450	0.1133430744
451	0.1132558472
452	0.113195338
453	0.1130026371
454	0.1129165899
455	0.1127854454
456	0.1126336144
457	0.1124296173
458	0.1123097883
459	0.112133946
460	0.1119616797
461	0.1119540245
462	0.1118701411
463	0.111762256
464	0.1116037913
465	0.1115516589
466	0.1115068497
467	0.1114881255
468	0.1112600589
469	0.1111508868
470	0.1111121516
471	0.1109446185
472	0.1108053338
