iter	Passed	Remaining
0	3	665
1	7	759
2	12	826
3	14	734
4	17	674
5	19	635
6	21	603
7	24	586
8	27	581
9	29	563
10	32	549
11	34	535
12	36	523
13	39	521
14	42	529
15	45	520
16	47	512
17	49	505
18	52	497
19	57	517
20	59	511
21	63	517
22	66	509
23	68	501
24	72	510
25	75	505
26	77	497
27	79	489
28	82	483
29	84	477
30	89	486
31	91	480
32	93	474
33	96	469
34	98	463
35	105	478
36	110	487
37	115	493
38	122	506
39	126	505
40	128	496
41	130	492
42	134	491
43	137	485
44	139	479
45	141	473
46	143	468
47	146	464
48	150	463
49	152	457
50	154	452
51	157	447
52	159	442
53	161	437
54	165	435
55	167	430
56	169	426
57	172	421
58	174	417
59	176	412
60	180	411
61	182	406
62	185	402
63	188	399
64	190	395
65	193	391
66	196	389
67	198	385
68	200	380
69	204	379
70	206	375
71	210	374
72	213	371
73	215	367
74	218	363
75	219	358
76	222	354
77	226	353
78	228	349
79	230	345
80	232	341
81	235	338
82	239	337
83	243	335
84	246	332
85	248	329
86	250	325
87	253	322
88	256	320
89	258	316
90	261	312
91	263	309
92	265	305
93	270	304
94	274	303
95	276	299
96	278	296
97	281	292
98	283	289
99	286	286
100	289	283
101	291	279
102	293	276
103	295	273
104	298	269
105	301	267
106	303	263
107	305	260
108	308	257
109	310	253
110	322	258
111	325	255
112	328	252
113	332	251
114	335	247
115	336	243
116	339	240
117	341	237
118	344	234
119	347	231
120	350	228
121	352	225
122	354	222
123	357	218
124	359	215
125	362	213
126	365	209
127	367	206
128	369	203
129	372	200
130	374	197
131	377	194
132	379	191
133	382	188
134	384	185
135	386	182
136	389	178
137	392	176
138	394	173
139	396	170
140	398	166
141	401	163
142	403	160
143	407	158
144	409	155
145	412	152
146	414	149
147	416	146
148	419	143
149	422	140
150	424	137
151	427	134
152	429	131
153	431	128
154	433	125
155	436	123
156	439	120
157	441	117
158	444	114
159	446	111
160	448	108
161	451	105
162	454	103
163	456	100
164	458	97
165	461	94
166	465	91
167	468	89
168	471	86
169	473	83
170	475	80
171	478	77
172	485	75
173	491	73
174	495	70
175	501	68
176	504	65
177	506	62
178	508	59
179	509	56
180	511	53
181	515	50
182	517	48
183	520	45
184	522	42
185	524	39
186	526	36
187	529	33
188	532	30
189	534	28
190	536	25
191	538	22
192	540	19
193	543	16
194	546	14
195	548	11
196	550	8
197	553	5
198	555	2
199	557	0
